product_name,product_id,productNameId,product_url,category
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets
SP25 Sculpt Tank FT,sp25_sculpt_tank_ft,Sculpt_Tank_Top,https://shop.lululemon.com/p/women-tanks/Sculpt-Tank-Top/_/prod5020018?color=31382,Women Tanks
"Pace Breaker Short 7"" Linerless",pace_breaker_short_7_linerless,Pace_Breaker_Short_Linerless_7,https://shop.lululemon.com/p/men-shorts/Pace-Breaker-Short-Linerless-7-Update/_/prod11400112?color=75671,Mens Shorts
"Q123 Pace Breaker 7"" Lined",q123_pace_breaker_7_lined,Pace_Breaker_Short_NF_7_Lined_Update,https://shop.lululemon.com/p/men-shorts/Pace-Breaker-Short-NF-7-Lined-Update-MD/_/prod11784464?color=72756,Mens Shorts
