product_name,product_id,productNameId,category,total_reviews,low_star_reviews,one_star_reviews,two_star_reviews,three_star_reviews,reviews_with_images,total_images,average_rating,top_complaint_theme,top_complaint_share
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,Jackets,5398,527,232,107,188,81,158,4.62,Sizing & Fit,40.8
"Pace Breaker Short 7"" Linerless",pace_breaker_short_7_linerless,Pace_Breaker_Short_Linerless_7,Mens Shorts,124,15,2,7,6,0,0,4.56,Fabric & Material Quality,26.7
"Q123 Pace Breaker 7"" Lined",q123_pace_breaker_7_lined,Pace_Breaker_Short_NF_7_Lined_Update,Mens Shorts,907,164,93,32,39,16,26,4.32,Sizing & Fit,50.0
SP25 Sculpt Tank FT,sp25_sculpt_tank_ft,Sculpt_Tank_Top,Women Tanks,580,87,27,25,35,7,17,4.46,Sizing & Fit,55.2
